Response_ID,Survey_Date,Age_Group,Gender,City_Tier,Location,Annual_Income,Occupation,Purchase_Frequency,Annual_Luxury_Spending,Brand_Loyalty_Score,Interest_Handbags,Interest_Watches,Interest_Jewelry,Interest_Fashion,Interest_Shoes,Interest_Cosmetics,Interest_Fragrances,Total_Categories_Interest,Urgency_Frequency,Online_Shopping_Pct,Gratification_Score,WTP_1Hour_Premium,WTP_Percentage,Service_Interest_Score,Likelihood_to_Use,Predicted_Premium_Spend,Customer_Segment
R0027,2025-11-01,25-34,Male,Tier 1 (Metro),London,$75K-$125K,Real Estate,Every 2-3mo,<$5K,5,0,1,1,1,1,1,1,6,Monthly,79,6,44,4.4,4,Possibly,264,Digital-First
R0028,2025-10-19,35-44,Male,Tier 1 (Metro),New York,$300K-$500K,Legal,Monthly,$15K-$30K,4,1,0,1,0,0,0,0,2,Every 2-3mo,47,8,96,9.6,7,Very Likely,1152,Aspirational
R0029,2025-10-31,35-44,Female,Tier 3 (Mid-size City),Geneva,$200K-$300K,Finance,2-4x/year,$15K-$30K,3,1,1,1,1,1,1,1,7,Yearly,48,8,68,6.8,6,Likely,204,Aspirational
R0030,2025-10-31,45-54,Female,Tier 2 (Large City),Sydney,$125K-$200K,Finance,Every 2-3mo,$5K-$15K,8,0,0,1,0,1,0,1,3,Every 2-3mo,41,1,46,4.6,7,Very Likely,276,Digital-First
R0031,2025-11-14,55-64,Male,Tier 1 (Metro),London,$300K-$500K,Media,Every 2-3mo,$30K-$50K,8,1,1,0,0,1,1,0,4,Every 2-3mo,33,3,84,8.4,10,Definitely,504,Affluent Pro
R0032,2025-11-14,35-44,Male,Tier 2 (Large City),Miami,$1M+,Tech,Every 2-3mo,$50K-$100K,4,1,1,1,1,0,0,1,5,2-4x/year,36,8,92,9.2,6,Likely,552,Affluent Pro
R0033,2025-10-21,45-54,Female,Tier 2 (Large City),Sydney,$300K-$500K,Entrepreneur,2-4x/year,$50K-$100K,7,1,0,0,0,1,0,0,2,Every 2-3mo,38,2,59,5.9,6,Likely,177,Affluent Pro
R0034,2025-11-13,35-44,Male,Tier 2 (Large City),Chicago,$500K-$1M,Real Estate,2-3x/month,$50K-$100K,9,1,0,0,1,0,0,0,2,Every 2-3mo,59,7,74,7.4,7,Very Likely,2220,Affluent Pro
R0035,2025-11-03,45-54,Female,Tier 1 (Metro),Singapore,$300K-$500K,Tech,Every 2-3mo,$50K-$100K,6,1,0,0,0,0,1,1,3,Every 2-3mo,50,2,102,10.2,8,Definitely,612,Affluent Pro
R0036,2025-10-25,55-64,Male,Tier 1 (Metro),New York,Under $75K,Consulting,Rarely,<$5K,5,0,0,1,0,0,0,0,1,Rarely,43,6,73,7.3,7,Very Likely,36,Gifter
R0037,2025-10-28,35-44,Female,Tier 1 (Metro),New York,Under $75K,Tech,2-4x/year,<$5K,3,0,0,1,0,1,1,1,4,Multiple/mo,10,6,49,4.9,4,Possibly,147,Gifter
R0038,2025-10-27,45-54,Male,Tier 3 (Mid-size City),San Francisco,$200K-$300K,Entrepreneur,Every 2-3mo,$5K-$15K,5,1,1,0,1,0,1,0,4,2-4x/year,61,4,10,1.0,3,Unlikely,60,Aspirational
R0039,2025-11-07,35-44,Female,Tier 1 (Metro),Los Angeles,$200K-$300K,Entrepreneur,2-3x/month,$5K-$15K,6,1,0,0,0,0,0,0,1,Every 2-3mo,42,2,70,7.0,6,Likely,2100,Aspirational
R0040,2025-10-28,25-34,Female,Tier 1 (Metro),New York,$200K-$300K,Media,2-4x/year,$15K-$30K,4,1,0,0,0,1,1,0,3,Monthly,85,7,79,7.9,7,Very Likely,237,Aspirational
R0041,2025-11-06,55-64,Female,Tier 1 (Metro),Los Angeles,$300K-$500K,Tech,2-3x/month,$15K-$30K,8,1,0,1,0,0,1,0,3,Rarely,34,3,63,6.3,10,Definitely,1890,Aspirational
R0042,2025-11-03,35-44,Female,Tier 1 (Metro),Singapore,$300K-$500K,Healthcare,Monthly,$15K-$30K,2,1,1,1,0,1,1,1,6,2-4x/year,60,6,68,6.8,7,Very Likely,816,Aspirational
R0043,2025-11-10,45-54,Female,Tier 2 (Large City),Chicago,$125K-$200K,Healthcare,2-4x/year,$5K-$15K,6,1,0,1,1,1,1,0,5,Every 2-3mo,34,3,74,7.4,7,Very Likely,222,Gifter
R0044,2025-10-19,35-44,Male,Tier 2 (Large City),Toronto,$200K-$300K,Finance,Every 2-3mo,$5K-$15K,6,1,1,0,1,1,0,0,4,2-4x/year,33,4,30,3.0,4,Possibly,180,Aspirational
R0045,2025-10-28,55-64,Male,Tier 3 (Mid-size City),San Francisco,$125K-$200K,Finance,Rarely,$15K-$30K,7,0,0,0,1,0,1,0,2,Rarely,54,6,22,2.2,3,Unlikely,11,Gifter
R0046,2025-11-02,35-44,Female,Tier 2 (Large City),Sydney,$300K-$500K,Tech,2-4x/year,$15K-$30K,6,1,1,0,0,0,1,0,3,Every 2-3mo,65,6,95,9.5,8,Definitely,285,Aspirational
R0047,2025-10-16,45-54,Female,Tier 2 (Large City),Miami,$125K-$200K,Healthcare,Rarely,$15K-$30K,6,0,0,0,1,0,1,0,2,2-4x/year,60,4,41,4.1,7,Very Likely,20,Gifter
R0048,2025-10-16,18-24,Male,Tier 1 (Metro),Los Angeles,$75K-$125K,Tech,2-3x/month,<$5K,5,0,1,1,1,1,0,0,4,Every 2-3mo,69,6,53,5.3,7,Very Likely,1590,Digital-First
R0049,2025-10-22,45-54,Male,Tier 3 (Mid-size City),San Francisco,$125K-$200K,Entrepreneur,Every 2-3mo,$15K-$30K,3,1,1,1,0,1,1,0,5,Yearly,46,4,2,0.2,3,Unlikely,12,Digital-First
R0050,2025-11-09,55-64,Male,Tier 2 (Large City),Chicago,$125K-$200K,Legal,2-4x/year,$5K-$15K,7,0,1,1,1,1,0,1,5,Every 2-3mo,46,5,20,2.0,1,Unlikely,60,Gifter
R0051,2025-10-21,35-44,Female,Tier 1 (Metro),Singapore,$1M+,Finance,2-4x/year,$50K-$100K,7,1,0,0,1,0,1,1,4,2-4x/year,62,7,111,11.1,8,Definitely,333,Affluent Pro
R0052,2025-11-06,55-64,Male,Tier 2 (Large City),Sydney,$75K-$125K,Consulting,Yearly,$5K-$15K,6,0,1,0,1,0,1,0,3,Yearly,33,3,16,1.6,2,Unlikely,16,Gifter
R0053,2025-10-20,45-54,Male,Tier 2 (Large City),Sydney,$300K-$500K,Finance,Monthly,$50K-$100K,7,1,1,0,1,0,0,1,4,Every 2-3mo,45,5,67,6.7,4,Possibly,804,Affluent Pro
R0054,2025-11-04,25-34,Female,Tier 3 (Mid-size City),San Francisco,$1M+,Media,2-3x/month,$50K-$100K,8,1,1,0,1,0,1,1,5,Monthly,75,7,124,12.4,9,Definitely,3720,Affluent Pro
R0055,2025-10-30,25-34,Male,Tier 2 (Large City),Miami,$75K-$125K,Entrepreneur,Rarely,<$5K,5,0,1,1,0,1,0,1,4,Every 2-3mo,74,6,31,3.1,6,Likely,15,Gifter
R0056,2025-10-21,35-44,Male,Tier 1 (Metro),Hong Kong,$500K-$1M,Entrepreneur,Every 2-3mo,$100K-$250K,6,0,1,1,0,0,0,0,2,Multiple/mo,50,4,84,8.4,7,Very Likely,504,Ultra-HNW
R0057,2025-10-26,25-34,Female,Tier 1 (Metro),Los Angeles,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,6,1,0,1,0,0,0,1,3,2-4x/year,54,7,58,5.8,9,Definitely,348,Aspirational
R0058,2025-11-06,35-44,Female,Tier 3 (Mid-size City),San Francisco,$125K-$200K,Finance,2-4x/year,<$5K,6,0,1,1,0,1,0,0,3,Multiple/mo,50,5,70,7.0,8,Definitely,210,Gifter
R0059,2025-10-27,45-54,Female,Tier 2 (Large City),Miami,$300K-$500K,Real Estate,Every 2-3mo,$50K-$100K,6,0,0,0,0,0,1,1,2,Every 2-3mo,59,4,57,5.7,7,Very Likely,342,Affluent Pro
R0060,2025-10-18,25-34,Male,Tier 2 (Large City),Chicago,$1M+,Luxury Retail,Every 2-3mo,$100K-$250K,8,1,1,0,1,0,1,0,4,Monthly,70,9,138,13.8,9,Definitely,828,Ultra-HNW
R0061,2025-11-01,18-24,Female,Tier 2 (Large City),Sydney,Under $75K,Healthcare,2-4x/year,<$5K,5,1,0,0,1,0,0,0,2,Monthly,78,7,48,4.8,4,Possibly,144,Gifter
R0062,2025-11-04,35-44,Male,Tier 1 (Metro),New York,$125K-$200K,Consulting,2-4x/year,$15K-$30K,5,1,1,1,1,0,1,0,5,Every 2-3mo,37,5,49,4.9,6,Likely,147,Gifter
R0063,2025-11-10,55-64,Male,Tier 1 (Metro),Hong Kong,$125K-$200K,Entrepreneur,2-4x/year,$15K-$30K,4,0,1,0,0,0,0,0,1,2-4x/year,22,4,35,3.5,4,Possibly,105,Gifter
R0064,2025-10-28,55-64,Male,Tier 2 (Large City),Miami,$200K-$300K,Healthcare,Every 2-3mo,$30K-$50K,7,1,0,0,0,0,0,0,1,2-4x/year,61,3,44,4.4,4,Possibly,264,Aspirational
R0065,2025-11-06,25-34,Female,Tier 1 (Metro),Singapore,$500K-$1M,Finance,Every 2-3mo,$100K-$250K,6,1,1,0,0,0,1,0,3,Yearly,67,8,102,10.2,8,Definitely,612,Ultra-HNW
R0066,2025-10-22,25-34,Female,Tier 3 (Mid-size City),Geneva,$125K-$200K,Entrepreneur,Rarely,<$5K,7,0,0,0,0,1,1,0,2,Yearly,75,7,39,3.9,5,Likely,19,Gifter
R0067,2025-10-20,35-44,Female,Tier 1 (Metro),New York,$200K-$300K,Healthcare,2-4x/year,$5K-$15K,4,1,1,1,0,0,1,0,4,Every 2-3mo,40,5,81,8.1,6,Likely,243,Aspirational
R0068,2025-10-27,25-34,Male,Tier 2 (Large City),Toronto,$200K-$300K,Real Estate,2-4x/year,$15K-$30K,6,0,0,0,0,0,0,1,1,Rarely,47,9,53,5.3,4,Possibly,159,Aspirational
R0069,2025-11-14,25-34,Female,Tier 1 (Metro),Dubai,$200K-$300K,Consulting,Every 2-3mo,$15K-$30K,8,1,0,1,1,0,1,0,4,2-4x/year,76,6,35,3.5,8,Very Likely,210,Aspirational
R0070,2025-10-21,35-44,Female,Tier 1 (Metro),Hong Kong,$300K-$500K,Entrepreneur,Yearly,$15K-$30K,6,0,0,1,1,0,0,0,2,Every 2-3mo,61,4,86,8.6,8,Definitely,86,Aspirational
R0071,2025-10-29,25-34,Female,Tier 1 (Metro),Los Angeles,$75K-$125K,Tech,Yearly,<$5K,5,1,0,0,0,1,1,0,3,2-4x/year,63,5,59,5.9,8,Definitely,59,Gifter
R0072,2025-11-07,18-24,Male,Tier 2 (Large City),Sydney,$200K-$300K,Legal,Monthly,$15K-$30K,5,1,1,0,1,1,1,0,5,Every 2-3mo,72,8,72,7.2,5,Likely,864,Aspirational
R0073,2025-10-16,55-64,Female,Tier 2 (Large City),Chicago,$125K-$200K,Finance,Monthly,$5K-$15K,3,1,1,0,0,0,1,0,3,Every 2-3mo,35,1,27,2.7,2,Unlikely,324,Digital-First
R0074,2025-11-12,35-44,Female,Tier 1 (Metro),New York,$300K-$500K,Legal,Monthly,$15K-$30K,7,1,1,1,1,1,0,0,5,Every 2-3mo,28,2,85,8.5,10,Definitely,1020,Aspirational
R0075,2025-11-14,45-54,Female,Tier 2 (Large City),Sydney,$75K-$125K,Consulting,Monthly,<$5K,8,1,0,1,1,0,1,1,5,Monthly,61,6,46,4.6,6,Likely,552,Digital-First
R0076,2025-10-18,55-64,Female,Tier 2 (Large City),Miami,$300K-$500K,Tech,Yearly,$30K-$50K,10,1,1,1,1,1,0,0,5,Rarely,17,4,6,0.6,4,Possibly,6,Affluent Pro
R0077,2025-11-11,55-64,Male,Tier 1 (Metro),Los Angeles,$200K-$300K,Finance,2-3x/month,$30K-$50K,5,0,0,0,1,0,1,1,3,Yearly,35,3,41,4.1,6,Likely,1229,Aspirational
R0078,2025-11-08,65+,Female,Tier 2 (Large City),Sydney,$75K-$125K,Real Estate,Yearly,<$5K,8,1,0,0,1,1,1,0,4,2-4x/year,36,1,11,1.1,4,Possibly,11,Gifter
R0079,2025-11-02,45-54,Male,Tier 2 (Large City),Chicago,$1M+,Entrepreneur,Yearly,$50K-$100K,7,0,0,1,0,1,1,0,3,Every 2-3mo,30,3,70,7.0,8,Definitely,70,Affluent Pro
R0080,2025-11-07,25-34,Male,Tier 2 (Large City),Chicago,$200K-$300K,Healthcare,Monthly,$15K-$30K,6,0,1,0,0,0,0,0,1,Every 2-3mo,63,8,69,6.9,6,Likely,828,Aspirational
R0081,2025-10-29,18-24,Male,Tier 2 (Large City),Chicago,$300K-$500K,Finance,2-3x/month,$15K-$30K,5,0,0,0,0,1,0,0,1,Yearly,30,7,39,3.9,5,Likely,1170,Aspirational
R0082,2025-11-13,35-44,Female,Tier 2 (Large City),Miami,$200K-$300K,Finance,Monthly,$15K-$30K,5,1,0,0,0,1,1,0,3,Monthly,57,4,95,9.5,8,Definitely,1140,Aspirational
R0083,2025-11-07,25-34,Male,Tier 3 (Mid-size City),San Francisco,$75K-$125K,Tech,2-4x/year,<$5K,6,1,1,1,0,0,1,0,4,Yearly,67,8,27,2.7,4,Possibly,81,Gifter
R0084,2025-10-27,45-54,Male,Tier 1 (Metro),Singapore,$500K-$1M,Tech,Monthly,$30K-$50K,6,1,1,0,0,1,0,0,3,Every 2-3mo,79,7,66,6.6,6,Likely,792,Affluent Pro
R0085,2025-11-05,25-34,Male,Tier 2 (Large City),Chicago,$300K-$500K,Finance,Every 2-3mo,$15K-$30K,7,1,1,0,0,1,0,0,3,2-4x/year,70,5,72,7.2,8,Definitely,432,Aspirational
R0086,2025-10-29,45-54,Male,Tier 2 (Large City),Miami,$200K-$300K,Entrepreneur,Every 2-3mo,$30K-$50K,10,0,1,0,1,1,0,0,3,Every 2-3mo,50,3,43,4.3,5,Likely,258,Aspirational
R0087,2025-10-16,45-54,Female,Tier 2 (Large City),Sydney,$75K-$125K,Tech,Yearly,<$5K,9,1,1,1,0,1,0,0,4,Rarely,39,5,12,1.2,1,Unlikely,12,Gifter
R0088,2025-10-17,35-44,Male,Tier 1 (Metro),Dubai,$75K-$125K,Entrepreneur,Yearly,<$5K,6,0,1,0,0,0,1,0,2,Yearly,62,1,16,1.6,3,Unlikely,16,Gifter
R0089,2025-10-25,65+,Male,Tier 2 (Large City),Miami,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,6,1,1,0,1,0,0,0,3,Multiple/mo,52,5,60,6.0,6,Likely,360,Aspirational
R0090,2025-10-28,25-34,Male,Tier 1 (Metro),Dubai,$125K-$200K,Tech,Yearly,$5K-$15K,7,1,0,0,0,1,0,1,3,Monthly,28,8,91,9.1,7,Very Likely,91,Gifter
R0091,2025-10-22,45-54,Female,Tier 1 (Metro),Hong Kong,$75K-$125K,Healthcare,Every 2-3mo,<$5K,6,1,0,1,1,1,0,0,4,Monthly,44,3,57,5.7,7,Very Likely,342,Digital-First
R0092,2025-10-18,25-34,Female,Tier 2 (Large City),Chicago,$300K-$500K,Legal,Every 2-3mo,$30K-$50K,9,1,0,1,0,0,0,0,2,Every 2-3mo,74,10,85,8.5,8,Definitely,510,Affluent Pro
R0093,2025-11-03,35-44,Other,Tier 2 (Large City),Chicago,$75K-$125K,Tech,Every 2-3mo,$5K-$15K,6,1,1,0,1,1,0,0,4,Yearly,57,8,70,7.0,6,Likely,420,Digital-First
R0094,2025-10-26,35-44,Female,Tier 1 (Metro),Dubai,$200K-$300K,Healthcare,2-3x/month,$5K-$15K,5,0,1,0,1,0,1,0,3,Yearly,56,4,31,3.1,5,Likely,930,Aspirational
R0095,2025-10-25,45-54,Male,Tier 2 (Large City),Chicago,$500K-$1M,Tech,Rarely,$30K-$50K,6,1,0,0,1,0,0,0,2,Multiple/mo,46,4,107,10.7,7,Very Likely,53,Affluent Pro
R0096,2025-11-04,45-54,Female,Tier 1 (Metro),Singapore,$1M+,Real Estate,2-3x/month,$50K-$100K,7,1,0,0,0,1,0,1,3,2-4x/year,47,8,99,9.9,8,Definitely,2970,Affluent Pro
R0097,2025-10-22,55-64,Female,Tier 1 (Metro),Los Angeles,$300K-$500K,Consulting,Every 2-3mo,$15K-$30K,5,0,0,1,0,0,1,0,2,Yearly,69,5,74,7.4,6,Likely,444,Aspirational
R0098,2025-10-28,25-34,Male,Tier 3 (Mid-size City),Geneva,$1M+,Finance,Weekly,$250K+,6,0,1,1,1,1,1,0,5,Yearly,70,8,109,10.9,8,Definitely,5668,Ultra-HNW
R0099,2025-10-26,45-54,Female,Tier 1 (Metro),London,$125K-$200K,Healthcare,2-4x/year,<$5K,2,0,1,0,1,0,0,1,3,Yearly,57,5,31,3.1,6,Likely,93,Gifter
R0100,2025-10-24,65+,Female,Tier 2 (Large City),Sydney,$300K-$500K,Tech,2-4x/year,$30K-$50K,7,1,1,1,1,1,1,1,7,Yearly,54,8,64,6.4,7,Very Likely,192,Affluent Pro
R0101,2025-11-03,55-64,Male,Tier 1 (Metro),Hong Kong,$300K-$500K,Tech,Every 2-3mo,$50K-$100K,5,0,1,1,1,0,0,0,3,Yearly,45,7,105,10.5,5,Likely,630,Affluent Pro
R0102,2025-11-09,35-44,Male,Tier 1 (Metro),Dubai,$200K-$300K,Real Estate,Every 2-3mo,$5K-$15K,5,0,1,0,1,1,0,0,3,Rarely,67,6,84,8.4,7,Very Likely,504,Aspirational
R0103,2025-10-25,55-64,Male,Tier 1 (Metro),Singapore,Under $75K,Finance,Every 2-3mo,<$5K,3,0,1,0,1,0,0,0,2,Multiple/mo,10,5,64,6.4,6,Likely,384,Digital-First
R0104,2025-11-07,45-54,Female,Tier 1 (Metro),Singapore,$200K-$300K,Entrepreneur,Monthly,$5K-$15K,3,1,1,0,0,0,0,0,2,Monthly,34,2,47,4.7,3,Unlikely,564,Aspirational
R0105,2025-10-20,45-54,Male,Tier 2 (Large City),Chicago,$300K-$500K,Luxury Retail,2-4x/year,$15K-$30K,5,1,1,0,0,1,0,0,3,Every 2-3mo,47,5,50,5.0,6,Likely,150,Aspirational
R0106,2025-10-23,35-44,Female,Tier 1 (Metro),Hong Kong,$300K-$500K,Tech,Every 2-3mo,$30K-$50K,6,1,1,1,1,1,0,0,5,2-4x/year,53,7,28,2.8,4,Possibly,167,Affluent Pro
R0107,2025-10-21,45-54,Male,Tier 1 (Metro),New York,$125K-$200K,Healthcare,Yearly,$5K-$15K,6,1,0,1,1,0,0,0,3,Yearly,57,1,24,2.4,1,Unlikely,24,Gifter
R0108,2025-10-26,18-24,Male,Tier 2 (Large City),Miami,$75K-$125K,Healthcare,Monthly,<$5K,7,1,1,1,0,0,1,1,5,Every 2-3mo,81,4,10,1.0,4,Possibly,120,Digital-First
R0109,2025-11-12,45-54,Female,Tier 1 (Metro),New York,$125K-$200K,Healthcare,2-3x/month,$15K-$30K,4,1,1,0,1,1,1,1,6,2-4x/year,46,5,34,3.4,3,Unlikely,1020,Digital-First
R0110,2025-10-29,55-64,Female,Tier 2 (Large City),Chicago,Under $75K,Real Estate,Every 2-3mo,<$5K,3,1,1,0,1,0,1,0,4,Yearly,17,4,8,0.8,2,Unlikely,48,Digital-First
R0111,2025-10-27,35-44,Female,Tier 1 (Metro),London,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,9,1,0,0,0,0,1,0,2,Every 2-3mo,31,5,78,7.8,10,Definitely,468,Aspirational
R0112,2025-11-11,25-34,Female,Tier 2 (Large City),Miami,$200K-$300K,Entrepreneur,Monthly,$30K-$50K,4,1,1,0,1,1,0,0,4,2-4x/year,68,5,6,0.6,2,Unlikely,72,Aspirational
R0113,2025-10-23,35-44,Male,Tier 2 (Large City),Toronto,$200K-$300K,Consulting,Monthly,$5K-$15K,8,0,1,0,1,1,0,0,3,Yearly,39,4,50,5.0,10,Definitely,600,Aspirational
R0114,2025-11-10,18-24,Female,Tier 2 (Large City),Toronto,$500K-$1M,Legal,Monthly,$30K-$50K,7,1,0,1,1,0,1,0,4,Every 2-3mo,56,9,107,10.7,8,Definitely,1284,Affluent Pro
R0115,2025-10-23,18-24,Female,Tier 2 (Large City),Chicago,$300K-$500K,Entrepreneur,Every 2-3mo,$50K-$100K,5,1,0,1,1,1,0,0,4,Monthly,64,7,84,8.4,6,Likely,504,Affluent Pro
R0116,2025-10-21,55-64,Male,Tier 1 (Metro),Los Angeles,Under $75K,Healthcare,Every 2-3mo,<$5K,5,1,0,0,1,0,1,0,3,Every 2-3mo,46,5,25,2.5,4,Possibly,150,Digital-First
R0117,2025-11-03,45-54,Male,Tier 2 (Large City),Sydney,$125K-$200K,Legal,2-4x/year,$5K-$15K,7,0,0,0,0,1,0,1,2,2-4x/year,30,3,13,1.3,2,Unlikely,39,Gifter
R0118,2025-10-27,35-44,Male,Tier 1 (Metro),Hong Kong,$75K-$125K,Tech,Yearly,$5K-$15K,6,0,1,1,0,1,0,0,3,Monthly,61,5,72,7.2,6,Likely,72,Gifter
R0119,2025-11-03,35-44,Female,Tier 1 (Metro),Dubai,$300K-$500K,Finance,2-3x/month,$15K-$30K,9,0,1,1,0,0,0,0,2,Rarely,25,4,80,8.0,9,Definitely,2400,Aspirational
R0120,2025-10-23,65+,Male,Tier 1 (Metro),Dubai,$300K-$500K,Healthcare,2-3x/month,$30K-$50K,6,0,1,0,1,0,0,0,2,Every 2-3mo,50,7,97,9.7,8,Definitely,2909,Affluent Pro
